0083AF90	 M2ModelHeader__ReadParticleEmitters
0080E1B0	 PendingSpellCast__OnSpellGo
0088FABB	__input_l
00509DD0	 CGChat_C__SendMessage
00839270	M2ModelHeader__ReadLights
00621070	 CSimpleUI__CreateTooltip
007385C0	CGUnit_C__AnimationData
0083A460 	M2ModelHeader__ReadRibbonEmitters
00415E84	__output_s_l
004102B2	 __output_l
006E2E90	Packet_
0055BDC0	 Packet_PACKET_SMSG_LFG_OFFER_CONTINUE
00418C34	___strgtold12_l
004192F4 	_$I10_OUTPUT
00894E72	__tsopen_nolock
0073DAB0	CGUnit_C__virt68
00808200 	CGGameUI__ShowSpellFailed
00890F46	__read_nolock
0088D080	_pow
00765AF0 	OnKeyDown
0080AC90	SendCast
006D8870	 Packet_PACKET_SMSG_GROUP_LIST
00838B10	M2ModelHeader__ReadUVAnimation
008385A0 	M2ModelHeader__ReadBones
00839EF0	M2ModelHeader__ReadCameras
007FCCA0 	GetSpellFailedResult
004932C0	CSimpleFrame__LoadXML
00546310	 CGWorldMap__SetMap
00708C20	UseItem
0040C377	__control87
00807980 	Spell_C__GetSpellCooldown
00734FD0	CGUnit_C__Disable
0076AB80	 ConsoleDeviceInitialize
005AB120	CGActionBar__PutActionInSlot
00547170 	CGWorldMap__SetMapToCurrentZone
0073C8E0	 CGUnit_C__OnMonsterMovePacket
0055B770	 Packet_PACKET_SMSG_UPDATE_LFG_LIST
004152D3	__write_nolock
00764B90 	OnKeyDownRepeat
00596450	CGClassTrainer__AddServices
0041BD80	 unknown_libname_120
0074DCB0	GetCombatLogFlags
006B5630	 FriendList__SendWho
0073B140	CGUnit_C__virtE8
00803A50	 Spell_C_HandleSpriteRay
00460010	SFileCreateFile
00837EE0	 M2ModelHeader__ReadColors
0050E120	Packet_PACKET_SMSG_CHANNEL_NOTIFY
00416D2C 	unknown_libname_113
00603330	CGCamera__SetView
0040EB87	__cftoa_l
00891A79 	__pow_pentium4
005FA170	CGInputControl__SetControlBit
00714250	 CGGameObject_C__CGGameObject_C
0040FC90	__ValidateEH3RN
006CF9B0	 Packet_PACKET_SMSG_PARTY_MEMBER_STATS_FULL
0073FCC0	 CGUnit_C__PostInit
00523900	OnItemPushResult
0088F587	 unknown_libname_138_0
008908BD	__openfile
005F79A0	 CDataStore__ReadAddonInfoPacket
0062DAE0	Lua_%s:SetHyperlink
005FA450 	CGInputControl__UnsetControlBit
0041167D	__raise_exc_ex
00806700	 PendingSpellCast__OnSpellStartPacket
00413B77	___sbh_alloc_block
00524BF0 	CGGameUI__Target
00518D50	CGGameUI__ClearInteractTarget
00576730	 Packet_PACKET_SMSG_NOTIFY_DANCE
0088E157	unknown_libname_131_0
0060ABF0 	GetGUIDByKeyword
0053CA70	CGSpellBook__UpdateSpells
006F8C50	 CEffect__UpdateAttachment
005D4210	CGPetInfo__SendPetAction
007A3570 	CMap__VectorIntersectSubChunks
0041A851	__tzset_nolock
0040D64C	 _parse_cmdline
006ED0F0	CMovement__ProcessMoveEvent
00544140	 CGWorldFrame_C__TranslateToMapCoords
006B7DD0	FriendList__ReadPacket
009C3CDE 	__wcstombs_l_helper
00891604	___libm_error_support
00705B20	 CGCorpse_C__PostInit
005D20A0	Packet_PACKET_SMSG_SET_FACTION_STANDING
005E85D0 	RepairItem
00571C50	Packet_PACKET_SMSG_MAIL_LIST_RESULT
00720F80	 CGUnit_C_virt9C
0040BE50	unknown_libname_2
006DDBB0	 CGPlayer_C__HandleOnRightClick
0073E410	CGUnit_C__UpdateDisplayInfo
00512E60 	CGGameUI__CloseInteraction
